1880.001,-0.692
1880.004,-0.592
1880.007,-0.673
1880.010,-0.615
1880.012,-0.681
1880.015,-0.743
1880.018,-0.646
1880.021,-0.716
1880.023,-0.984
1880.026,-0.937
1880.029,-1.125
1880.031,-1.283
1880.034,-1.108
1880.037,-0.960
1880.040,-0.865
1880.042,-0.753
1880.045,-0.511
1880.048,-0.678
1880.051,-0.766
1880.053,-0.875
1880.056,-0.913
1880.059,-0.812
1880.062,-0.744
1880.064,-0.762
1880.067,-0.900
1880.070,-1.070
1880.072,-1.260
1880.075,-1.385
1880.078,-1.339
1880.081,-1.288
1880.083,-1.196
1880.086,-1.254
1880.089,-1.327
1880.092,-1.463
1880.094,-1.471
1880.097,-1.361
1880.100,-1.439
1880.102,-1.481
1880.105,-1.445
1880.108,-1.348
1880.111,-1.245
1880.113,-1.184
1880.116,-1.232
1880.119,-1.357
1880.122,-1.353
1880.124,-1.320
1880.127,-1.285
1880.130,-1.314
1880.133,-1.479
1880.135,-1.416
1880.138,-1.170
1880.141,-0.866
1880.143,-0.765
1880.146,-0.884
1880.149,-1.055
1880.152,-0.899
1880.154,-1.046
1880.157,-1.269
1880.160,-1.319
1880.163,-1.281
1880.165,-1.151
1880.168,-1.091
1880.171,-0.831
1880.173,-0.778
1880.176,-0.852
1880.179,-0.903
1880.182,-1.078
1880.184,-1.209
1880.187,-1.311
1880.190,-1.096
1880.193,-1.191
1880.195,-1.414
1880.198,-1.622
1880.201,-1.645
1880.203,-1.483
1880.206,-1.287
1880.209,-0.987
1880.212,-0.707
1880.214,-0.768
1880.217,-0.883
1880.220,-0.830
1880.223,-0.779
1880.225,-0.878
1880.228,-0.873
1880.231,-0.826
1880.234,-0.804
1880.236,-0.844
1880.239,-0.872
1880.242,-0.947
1880.245,-0.952
1880.247,-0.896
1880.250,-0.741
1880.253,-0.829
1880.255,-0.746
1880.258,-0.706
1880.261,-0.656
1880.264,-0.861
1880.266,-0.977
1880.269,-1.033
1880.272,-0.819
1880.275,-0.916
1880.277,-1.112
1880.280,-1.111
1880.283,-1.035
1880.286,-0.923
1880.288,-0.834
1880.291,-0.783
1880.294,-0.771
1880.297,-0.817
1880.299,-0.876
1880.302,-0.686
1880.305,-0.503
1880.307,-0.540
1880.310,-0.651
1880.313,-0.768
1880.316,-0.771
1880.318,-0.854
1880.321,-0.817
1880.324,-0.835
1880.327,-0.763
1880.329,-0.771
1880.332,-0.680
1880.335,-0.510
1880.337,-0.434
1880.340,-0.432
1880.343,-0.348
1880.346,-0.477
1880.348,-0.592
1880.351,-0.455
1880.354,-0.482
1880.357,-0.468
1880.359,-0.430
1880.362,-0.439
1880.365,-0.439
1880.367,-0.375
1880.370,-0.302
1880.373,-0.255
1880.376,-0.251
1880.378,-0.311
1880.381,-0.302
1880.384,-0.381
1880.387,-0.358
1880.389,-0.357
1880.392,-0.233
1880.395,-0.168
1880.398,-0.154
1880.400,-0.223
1880.403,-0.206
1880.406,-0.297
1880.408,-0.432
1880.411,-0.506
1880.414,-0.537
1880.417,-0.559
1880.419,-0.483
1880.422,-0.379
1880.425,-0.423
1880.428,-0.481
1880.430,-0.543
1880.433,-0.505
1880.436,-0.404
1880.438,-0.389
1880.441,-0.337
1880.444,-0.330
1880.447,-0.355
1880.449,-0.303
1880.452,-0.243
1880.455,-0.264
1880.458,-0.358
1880.460,-0.267
1880.463,-0.162
1880.466,-0.152
1880.469,-0.317
1880.471,-0.334
1880.474,-0.232
1880.477,-0.088
1880.479,-0.118
1880.482,-0.275
1880.485,-0.268
1880.488,-0.253
1880.490,-0.236
1880.493,-0.264
1880.496,-0.202
1880.499,-0.264
1880.501,-0.318
1880.504,-0.295
1880.507,-0.242
1880.510,-0.232
1880.512,-0.136
1880.515,-0.226
1880.518,-0.149
1880.521,-0.194
1880.523,-0.273
1880.526,-0.289
1880.529,-0.274
1880.531,-0.209
1880.534,-0.178
1880.537,-0.167
1880.540,-0.102
1880.542,-0.132
1880.545,-0.106
1880.548,-0.165
1880.551,-0.257
1880.553,-0.194
1880.556,-0.186
1880.559,-0.152
1880.562,-0.234
1880.564,-0.168
1880.567,-0.209
1880.570,-0.242
1880.572,-0.294
1880.575,-0.329
1880.578,-0.186
1880.581,-0.056
1880.583,-0.117
1880.586,-0.290
1880.589,-0.414
1880.592,-0.480
1880.594,-0.403
1880.597,-0.442
1880.600,-0.290
1880.602,-0.261
1880.605,-0.357
1880.608,-0.349
1880.611,-0.353
1880.613,-0.319
1880.616,-0.241
1880.619,-0.266
1880.622,-0.293
1880.624,-0.189
1880.627,-0.070
1880.630,-0.071
1880.633,-0.062
1880.635,-0.066
1880.638,-0.063
1880.641,-0.160
1880.643,-0.211
1880.646,-0.312
1880.649,-0.283
1880.652,-0.321
1880.654,-0.435
1880.657,-0.351
1880.660,-0.340
1880.663,-0.310
1880.665,-0.424
1880.668,-0.243
1880.671,-0.134
1880.673,-0.166
1880.676,-0.136
1880.679,-0.193
1880.682,-0.233
1880.684,-0.525
1880.687,-0.598
1880.690,-0.601
1880.693,-0.662
1880.695,-0.744
1880.698,-0.806
1880.701,-0.833
1880.703,-0.777
1880.706,-0.670
1880.709,-0.572
1880.712,-0.640
1880.714,-0.720
1880.717,-0.728
1880.720,-0.809
1880.723,-0.762
1880.725,-0.726
1880.728,-0.637
1880.731,-0.511
1880.734,-0.578
1880.736,-0.733
1880.739,-0.842
1880.742,-0.878
1880.745,-0.819
1880.747,-0.770
1880.750,-0.654
1880.753,-0.514
1880.755,-0.673
1880.758,-0.687
1880.761,-0.611
1880.764,-0.546
1880.766,-0.499
1880.769,-0.500
1880.772,-0.496
1880.775,-0.596
1880.777,-0.500
1880.780,-0.534
1880.783,-0.534
1880.786,-0.592
1880.788,-0.642
1880.791,-0.832
1880.794,-0.881
1880.797,-0.773
1880.799,-0.593
1880.802,-0.506
1880.805,-0.529
1880.807,-0.683
1880.810,-0.692
1880.813,-0.601
1880.816,-0.477
1880.818,-0.413
1880.821,-0.352
1880.824,-0.252
1880.827,-0.118
1880.829,-0.168
1880.832,-0.292
1880.835,-0.388
1880.837,-0.354
1880.840,-0.295
1880.843,-0.251
1880.846,-0.294
1880.848,-0.158
1880.851,0.043
1880.854,0.076
1880.857,-0.058
1880.859,-0.105
1880.862,-0.104
1880.865,-0.231
1880.867,-0.185
1880.870,-0.119
1880.873,-0.251
1880.876,-0.571
1880.878,-0.664
1880.881,-0.674
1880.884,-0.812
1880.887,-0.984
1880.889,-1.105
1880.892,-0.881
1880.895,-0.792
1880.898,-0.706
1880.900,-0.558
1880.903,-0.399
1880.906,-0.299
1880.908,-0.402
1880.911,-0.489
1880.914,-0.341
1880.917,-0.516
1880.919,-0.522
1880.922,-0.468
1880.925,-0.525
1880.928,-0.708
1880.930,-0.873
1880.933,-0.668
1880.936,-0.631
1880.938,-0.587
1880.941,-0.473
1880.944,-0.203
1880.947,0.076
1880.949,0.042
1880.952,0.040
1880.955,-0.037
1880.958,-0.051
1880.960,-0.383
1880.963,-0.420
1880.966,-0.451
1880.969,-0.365
1880.971,-0.427
1880.974,-0.538
1880.977,-0.478
1880.979,-0.331
1880.982,-0.299
